table,column,property,type,nullable,primary_key,comment,source_file
notification_logs,id,id,uuid,no,yes,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,tenant_id,tenantId,varchar,no,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,alert_id,alertId,varchar,no,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,channel,channel,varchar(20),no,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,status,status,varchar(20),no,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,recipient,recipient,text,yes,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,subject,subject,text,no,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,body,body,text,yes,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,error_message,errorMessage,text,yes,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
notification_logs,created_at,createdAt,timestamptz,no,no,,monitoreo-v2/backend/src/modules/alerts/entities/notification-log.entity.ts
api_keys,id,id,uuid,no,yes,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,tenant_id,tenantId,varchar,no,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,name,name,varchar(255),no,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,key_hash,keyHash,varchar(64),no,no,SHA-256 hex of the full API key.,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,key_prefix,keyPrefix,varchar(12),no,no,First 8 chars of the key for display/identification.,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,permissions,permissions,text,no,no,"Permission strings, e.g. ['buildings:read', 'meters:read'].",monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,building_ids,buildingIds,uuid,no,no,Building UUIDs this key can access. Empty = all buildings.,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,rate_limit_per_minute,rateLimitPerMinute,int,no,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,ingress_rate_limit_per_minute,ingressRateLimitPerMinute,int,yes,no,Optional higher limit for POST /v1/measurements. NULL = use ingress multiplier.,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,expires_at,expiresAt,timestamptz,yes,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,is_active,isActive,boolean,no,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,last_used_at,lastUsedAt,timestamptz,yes,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,created_by,createdBy,uuid,yes,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,created_at,createdAt,timestamptz,no,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
api_keys,updated_at,updatedAt,timestamptz,no,no,,monitoreo-v2/backend/src/modules/api-keys/entities/api-key.entity.ts
tenant_sso_config,issuer,issuer,text,no,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
tenant_sso_config,client_id,clientId,text,no,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
tenant_sso_config,metadata_url,metadataUrl,text,yes,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
tenant_sso_config,encrypted_client_secret,encryptedClientSecret,text,no,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
tenant_sso_config,scim_webhook_secret,scimWebhookSecret,text,yes,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
tenant_sso_config,created_at,createdAt,timestamptz,no,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
tenant_sso_config,updated_at,updatedAt,timestamptz,no,no,,monitoreo-v2/backend/src/modules/auth/entities/tenant-sso-config.entity.ts
iot_readings,value,value,double precision,no,no,,monitoreo-v2/backend/src/modules/iot-readings/entities/iot-reading.entity.ts
iot_readings,quality,quality,integer,no,no,,monitoreo-v2/backend/src/modules/iot-readings/entities/iot-reading.entity.ts
oauth_clients,id,id,uuid,no,yes,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
oauth_clients,tenant_id,tenantId,varchar,no,no,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
oauth_clients,name,name,varchar(255),no,no,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
oauth_clients,client_id,clientId,varchar(64),no,no,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
oauth_clients,secret_hash,secretHash,varchar(64),no,no,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
oauth_clients,client_id_prefix,clientIdPrefix,varchar(12),no,no,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
oauth_clients,scopes,scopes,text,no,no,,monitoreo-v2/backend/src/modules/oauth-clients/entities/oauth-client.entity.ts
